         Abide1             Abode/Abided2                 Abode/Abided/Abidden3         Abides4         Abiding5   
        Lend1              Lent2                         Lent3                         Lends4                   Lending5 

        Let1               Let2                          Let3                          Lets4                    Letting5  

        Lie1               Lay2                          Lain3                         Lies4                    Lying5  

        Light1             Lit2                          Lit3                          Lights4                  Lighting5 

        Lose1              Lost2                         Lost3                         Loses4                   Losing5 

        Make1              Made2                         Made3                         Makes4                   Making5 

        Mean1              Meant2                        Meant3                        Means4                   Meaning5 

        Meet1              Met2                          Met3                               Meets4                   Meeting5 

        Melt1              Melted2                       Molten/Melted3                Melts4                   Melting5 

        Mislead1           Misled2                       Misled3                       Misleads4                Misleading5 

        Mistake1           Mistook2                      Mistaken3                     Mistake4                 Mistaking5 

        Misunderstand1    Misunderstood2     Misunderstood3     Misunderstands4     Misunderstanding5 

        Miswed1    Miswed/Miswedded2      Miswed/Miswedded3      Misweds4     Miswedding5 

        Mow1               Mowed2                        Mown3                         Mows4                    Mowing5 

        Overdraw1      Overdrew2        Overdrawn3                    Overdraws4               Overdrawing5 

        Overhear1    Overheard2             Overheard3                    Overhears4               Overhearing5 

        Overtake1          Overtook2                     Overtaken3                   Overtakes4               Overtaking5 

        Pay1               Paid2                         Paid3                         Pays4                    Paying5 

        Preset1            Preset2                       Preset3                       Prests4                  Presetting5 

        Prove1             Proved2                       Proven/Proved3                Proves4                  Proving5 

        Put1               Put2                          Put3                          Puts4                    Putting5 

        Quit1              Quit2                         Quit3                         Quits4                   Quitting5 

        Re-prove1    Re-proved2        Re-proven/Re-proved3          Re-proves4               Re-proving5 

        Read1              Read2                         Read3                         Reads4                   Reading5 

        Rid1               Rid/Ridded2                   Rid/Ridded3                   Rids4                    Ridding5 

        Ride1              Rode2                         Ridden3                       Rides4                   Riding5 

        Ring1              Rang2                         Rung3                         Rings4                   Ringing5 

        Rise1              Rose2                         Risen3                        Rises4                   Rising5 

        Rive1              Rived2                        Riven/Rived3                  Rives4                   Riving5 

        Run1               Ran2                          Run3                          Runs4                    Running5 

        Saw1               Sawed2                        Sawn/Sawed3                   Saws4                    Sawing5 

        Say1               Said2                         Said3                         Says4                    Saying5 

        See1               Saw2                          Seen3                         Sees4                    Seeing5 

        Seek1              Sought2                       Sought3                      Seeks4                   Seeking5 

        Sell1              Sold2                         Sold3                         Sells4                   Selling5 

        Send1              Sent2                         Sent3                         Sends4                   Sending5 

        Set1               Set2                          Set3                          Sets4                    Setting5 

        Sew1               Sewed2                        Sewn/Sewed3                   Sews4                    Sewing5 

        Shake1             Shook2                        Shaken3                       Shakes4                  Shaking5 

        Shave1             Shaved2                       Shaven/Shaved3                Shaves4                  Shaving5 

        Shear1             Shore/Sheared2                Shorn/Sheared3                Shears4                  Shearing5 

        Shed1              Shed2                         Shed3                         Sheds4                   Shedding5 

        Shine1             Shone2                        Shone3                        Shines4                  Shining5 

        Shoe1              Shod2                         Shod3                         Shoes4                   Shoeing5 

        Shoot1             Shot2                         Shot3                         Shoots4                  Shooting5 

        Show1              Showed2                       Shown3                        Shows4                   Showing5 

        Shrink1            Shrank2                       Shrunk3                       Shrinks4                 Shrinking5 

        Shut1              Shut2                         Shut3                         Shuts4                   Shutting5 

        Sing1              Sang2                         Sung3                         Sings4                   Singing5 

        Sink1              Sank2                         Sunk3                         Sinks4                   Sinking5 

        Sit1               Sat2                          Sat3                          Sits4                    Sitting5 

        Slay1              Slew2                         Slain3                        Slays4                   Slaying5 

        Sleep1             Slept2                        Slept3                        Sleeps4                  Sleeping5 

        Slide1             Slid2                         Slid/Slidden3                 Slides4                  Sliding5 

        Sling1             Slung2                        Slung3                        Slings4                  Slinging5 

        Slink1             Slunk2                        Slunk3                        Slinks4                  Slinking5 

        Slit1              Slit2                         Slit3                         Slits4                   Slitting5 

        Smell1             Smelt/Smelled2                Smelt/Smelled3                Smells4                  Smelling5 

        Sneak1             Sneaked/Snuck2                Sneaked/Snuck3                Sneaks4        Sneaking5  

        Soothsay1       Soothsaid2        Soothsaid3                    Soothsays4               Soothsaying5 

        Sow1               Sowed2                        Sown3                         Sows4                    Sowing5 

        Speak1             Spoke2                        Spoken3                       Speaks4                  Speaking5 

        Speed1       Sped/Speeded2       Sped/Speeded3                 Speeds4                  Speeding5 

        Spell1             Spelt/Spelled2                Spelt/Spelled3                Spells4                  Spelling5 

        Spend1             Spent2                        Spent3                        Spends4                  Spending5 

        Spill1             Spilt/Spilled2                Spilt/Spilled3                Spills4                  Spilling5 

        Spin1              Span/Spun2                    Spun3                         Spins4                   Spinning5 

        Spit1              Spat/Spit2                    Spat/Spit3                    Spits4                   Spitting5 

        Split1             Split2                        Split3                        Splits4                  Splitting5  

        Spoil1             Spoilt/Spoiled2               Spoilt/Spoiled3               Spoils4                  Spoiling5 

